School_Name	School_Year	Reported_enrollment	Percent_complete_for_all_immunizations	Percent_conditional	Percent_out_of_compliance	Percent_with_any_exemption	Percent_with_medical_exemption	Percent_with_personal_exemption	Percent_with_religious_exemption	Percent_with_religious_membership_exemption	Percent_complete_for_diphtheria_tetanus	Percent_complete_for_pertussis	Percent_complete_for_measles_mumps_rubella	Percent_complete_for_polio	Percent_complete_for_HepatitisB	Percent_complete_for_varicella	Number_complete_for_all_immunizations	Number_conditional	Number_out_of_compliance	Number_with_any_exemption	Number_with_medical_exemption	Number_with_personal_exemption	Number_with_religious_exemption	Number_with_religious_membership_exemption	Number_incomplete_for_diphtheria_tetanus	Number_incomplete_for_pertussis	Number_incomplete_for_measles_mumps_rubella	Number_incomplete_for_polio	Number_incomplete_for_HepatitisB	Number_incomplete_for_varicella	Reported	School_Type	School_District	Address	City	County	ESD	Grade_Levels	Has_kindergarten	Has_6thGrade
THE BEAR CREEK SCHOOL	2015-16	60	91.7%	0%	0%	8.3%	0%	8.3%	0%	0%	93.3%	93.3%	93.3%	93.3%	91.7%	98.3%	55	0	0	5	0	5	0	0	4	4	4	4	5	1	Y	PRIVATE SCHOOL	LAKE WASHINGTON SCHOOL DISTRICT	8905 208TH AVE NE	REDMOND	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-12	Y	Y
THE BUSH SCHOOL	2015-16	59	98.3%	0%	0%	1.7%	0%	1.7%	0%	0%	100%	100%	98.3%	98.3%	98.3%	100%	58	0	0	1	0	1	0	0	0	0	1	1	1	0	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	3400 E HARRISON	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-12	Y	Y
THE CHILDREN'S INN ACADEMY	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	OLYMPIA SCHOOL DISTRICT	1939 KAREN FRAZIER RD SE	OLYMPIA	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	P-6	Y	Y
THE CLEARWATER SCHOOL	2015-16	2	50%	0%	0%	50%	0%	50%	0%	0%	50%	50%	50%	50%	50%	50%	1	0	0	1	0	1	0	0	1	1	1	1	1	1	Y	PRIVATE SCHOOL	NORTHSHORE SCHOOL DISTRICT	1510 196TH ST SE	BOTHELL	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-12	Y	Y
THE LAKE AND PARK SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	3201 HUNTER BLVD S	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
THE LITTLE SCHOOL	2015-16	3	66.7%	0%	0%	33.3%	0%	33.3%	0%	0%	66.7%	100%	66.7%	66.7%	66.7%	100%	2	0	0	1	0	1	0	0	1	0	1	1	1	0	Y	PRIVATE SCHOOL	BELLEVUE SCHOOL DISTRICT	2812 116TH AVE NE	BELLEVUE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-6	Y	Y
THE PHOENIX RISING SCHOOL	2015-16	1	0%	0%	0%	100%	0%	100%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	1	0	1	0	0	1	1	1	1	1	1	Y	PRIVATE SCHOOL	RAINIER SCHOOL DISTRICT	13411 CEDAR GROVE LN	RAINIER	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	P-6	Y	Y
THE RIVER ACADEMY	2015-16	21	57.1%	23.8%	0%	19%	0%	19%	0%	0%	76.2%	76.2%	81%	76.2%	85.7%	71.4%	12	5	0	4	0	4	0	0	5	5	4	5	3	6	Y	PRIVATE SCHOOL	WENATCHEE SCHOOL DISTRICT	650 CRAWFORD ST	WENATCHEE	CHELAN	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	K-12	Y	Y
THERESA AND ELIZABETHS SCHOOL	2015-16																														N	PRIVATE SCHOOL	MONROE SCHOOL DISTRICT	23816 165TH AVE SE	MONROE	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K-12	Y	Y
THORP ELEM AND JR SR HIGH	2015-16	10	70%	20%	0%	10%	0%	10%	0%	0%	100%	100%	100%	100%	100%	90%	7	2	0	1	0	1	0	0	0	0	0	0	0	1	Y	PUBLIC SCHOOL	THORP SCHOOL DISTRICT	PO BOX 150	THORP	KITTITAS	EDUCATIONAL SERVICE DISTRICT 105	K -12	Y	Y
THREE CEDARS WALDORF SCHOOL	2015-16	16	81.3%	6.3%	0%	12.5%	0%	12.5%	0%	0%	81.3%	81.3%	87.5%	87.5%	81.3%	87.5%	13	1	0	2	0	2	0	0	3	3	2	2	3	2	Y	PRIVATE SCHOOL	BELLEVUE SCHOOL DISTRICT	556 124TH AVE NE	BELLEVUE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-8	Y	Y
THREE POINTS ELEMENTARY	2015-16	50	88%	0%	12%	0%	0%	0%	0%	0%	94%	94%	100%	100%	100%	96%	44	0	6	0	0	0	0	0	3	3	0	0	0	2	Y	PRIVATE SCHOOL	BELLEVUE SCHOOL DISTRICT	7800 NE 28TH ST	MEDINA	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-6	Y	Y
THREE RIVERS CHRISTIAN SCHOOL-LONGVIEW ELEM	2015-16	11	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	11	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	LONGVIEW SCHOOL DISTRICT	2610 OCEAN BEACH HWY	LONGVIEW	COWLITZ	EDUCATIONAL SERVICE DISTRICT 112	P-12	Y	Y
THREE TREE MONTESSORI	2015-16	1	0%	100%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	0%	0%	0	1	0	0	0	0	0	0	0	0	0	0	1	1	Y	PRIVATE SCHOOL	HIGHLINE SCHOOL DISTRICT	220 SW 160TH ST	BURIEN	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-6	Y	Y
THUNDER MOUNTAIN MIDDLE SCHOOL	2015-16	153	82.4%	0%	8.5%	9.2%	3.9%	5.2%	0%	0%	86.9%	86.9%	96.7%	96.7%	94.8%	96.1%	126	0	13	14	6	8	0	0	20	20	5	5	8	6	Y	PUBLIC SCHOOL	ENUMCLAW SCHOOL DISTRICT	42018 264TH AVENUE SE	ENUMCLAW	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
THURGOOD MARSHALL MIDDLE SCHOOL	2015-16	107	59.8%	0%	28%	12.1%	1.9%	9.3%	0.9%	0%	65.4%	66.4%	92.5%	89.7%	85%	86%	64	0	30	13	2	10	1	0	37	36	8	11	16	15	Y	PUBLIC SCHOOL	OLYMPIA SCHOOL DISTRICT	3939 20TH AVE NW	OLYMPIA	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	6-8	N	Y
TIETON INTERMEDIATE SCHOOL	2015-16	100	90%	1%	7%	2%	1%	1%	0%	0%	96%	97%	99%	99%	95%	97%	90	1	7	2	1	1	0	0	4	3	1	1	5	3	Y	PUBLIC SCHOOL	HIGHLAND SCHOOL DISTRICT	PO BOX 6	TIETON	YAKIMA	EDUCATIONAL SERVICE DISTRICT 105	4-6	N	Y
TILLICUM MIDDLE SCHOOL	2015-16	205	62.4%	0%	27.3%	10.2%	2.9%	7.3%	0%	0%	68.3%	68.3%	96.6%	93.7%	93.2%	90.7%	128	0	56	21	6	15	0	0	65	65	7	13	14	19	Y	PUBLIC SCHOOL	BELLEVUE SCHOOL DISTRICT	16020 SE 16TH STREET	BELLEVUE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
TOLEDO MIDDLE SCHOOL	2015-16	55	78.2%	1.8%	18.2%	1.8%	0%	1.8%	0%	0%	78.2%	80%	98.2%	98.2%	100%	96.4%	43	1	10	1	0	1	0	0	12	11	1	1	0	2	Y	PUBLIC SCHOOL	TOLEDO SCHOOL DISTRICT	PO BOX 668	TOLEDO	LEWIS	EDUCATIONAL SERVICE DISTRICT 113	6-8	N	Y
TOLT MIDDLE SCHOOL	2015-16	214	86%	0%	5.1%	8.9%	0.9%	7.5%	0.9%	0%	90.2%	90.7%	95.3%	93.9%	94.4%	91.6%	184	0	11	19	2	16	2	0	21	20	10	13	12	18	Y	PUBLIC SCHOOL	RIVERVIEW SCHOOL DISTRICT	3740 TOLT AVE	CARNATION	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
TONASKET MIDDLE SCHOOL	2015-16	90	76.7%	0%	16.7%	6.7%	0%	5.6%	1.1%	0%	80%	80%	96.7%	96.7%	96.7%	93.3%	69	0	15	6	0	5	1	0	18	18	3	3	3	6	Y	PUBLIC SCHOOL	TONASKET SCHOOL DISTRICT	35MS HIGHWAY 20	TONASKET	OKANOGAN	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	6-8	N	Y
TOPPENISH MIDDLE SCHOOL	2015-16	272	97.1%	0%	1.8%	1.1%	0%	1.1%	0%	0%	98.5%	98.5%	100%	99.6%	99.6%	98.9%	264	0	5	3	0	3	0	0	4	4	0	1	1	3	Y	PUBLIC SCHOOL	TOPPENISH SCHOOL DISTRICT	104 GOLDENDALE AVENUE	TOPPENISH	YAKIMA	EDUCATIONAL SERVICE DISTRICT 105	6-8	N	Y
TOPS K-8 SCHOOL	2015-16	52	65.4%	0%	25%	9.6%	5.8%	5.8%	0%	0%	73.1%	75%	96.2%	96.2%	96.2%	92.3%	34	0	13	5	3	3	0	0	14	13	2	2	2	4	Y	PUBLIC SCHOOL	SEATTLE PUBLIC SCHOOLS	2500 FRANKLIN AV E	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	PK-8	Y	Y
TORAH DAY SCHOOL OF SEATTLE	2015-16	10	60%	0%	20%	20%	0%	20%	0%	0%	80%	90%	80%	80%	80%	80%	6	0	2	2	0	2	0	0	2	1	2	2	2	2	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	3528 S FERDINAND ST	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
TOTEM FALLS	2015-16	61	95.1%	0%	0%	4.9%	1.6%	4.9%	0%	0%	96.7%	96.7%	98.4%	96.7%	98.4%	96.7%	58	0	0	3	1	3	0	0	2	2	1	2	1	2	Y	PUBLIC SCHOOL	SNOHOMISH SCHOOL DISTRICT	14211 SNOHOMISH-CASCADE DRIVE	SNOHOMISH	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
TOTEM MIDDLE SCHOOL	2015-16	186	90.9%	0%	1.6%	7.5%	0%	6.5%	1.1%	0%	91.4%	92.5%	95.7%	95.7%	95.7%	95.7%	169	0	3	14	0	12	2	0	16	14	8	8	8	8	Y	PUBLIC SCHOOL	MARYSVILLE SCHOOL DISTRICT	1605 7TH ST	MARYSVILLE	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	6-8	N	Y
TOTEM MIDDLE SCHOOL	2015-16	244	59%	2%	38.1%	0.8%	0.4%	0.4%	0%	0%	60.7%	60.7%	98.4%	95.9%	96.3%	95.5%	144	5	93	2	1	1	0	0	96	96	4	10	9	11	Y	PUBLIC SCHOOL	FEDERAL WAY SCHOOL DISTRICT	26630 40TH AVE S	KENT	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
TOUCHET ELEM AND HIGH SCHOOL	2015-16	18	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	18	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	TOUCHET SCHOOL DISTRICT	PO BOX 135	TOUCHET	WALLA WALLA	EDUCATIONAL SERVICE DISTRICT 123	K -12	Y	Y
TOUTLE LAKE ELEMENTARY	2015-16	46	78.3%	0%	17.4%	4.3%	0%	4.3%	0%	0%	78.3%	78.3%	97.8%	97.8%	97.8%	97.8%	36	0	8	2	0	2	0	0	10	10	1	1	1	1	Y	PUBLIC SCHOOL	TOUTLE LAKE SCHOOL DISTRICT	5050 SPIRIT LAKE HWY	TOUTLE	COWLITZ	EDUCATIONAL SERVICE DISTRICT 112	K -6	Y	Y
TRENT ELEMENTARY	2015-16	51	74.5%	2%	21.6%	2%	0%	2%	0%	0%	78.4%	78.4%	98%	98%	98%	94.1%	38	1	11	1	0	1	0	0	11	11	1	1	1	3	Y	PUBLIC SCHOOL	EAST VALLEY SCHOOL DISTRICT (SPOKANE)	3303 N PINES RD	SPOKANE VALLEY	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	PK-7	Y	Y
TRENTWOOD ELEMENTARY SCHOOL	2015-16	75	80%	0%	14.7%	5.3%	1.3%	4%	0%	0%	82.7%	82.7%	94.7%	96%	94.7%	96%	60	0	11	4	1	3	0	0	13	13	4	3	4	3	Y	PUBLIC SCHOOL	EAST VALLEY SCHOOL DISTRICT (SPOKANE)	14701 E WELLESLEY AVE	SPOKANE VALLEY	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	PK-7	Y	Y
TRI-CITY JUNIOR ACADEMY	2015-16	4	75%	25%	0%	0%	0%	0%	0%	0%	100%	100%	75%	100%	100%	75%	3	1	0	0	0	0	0	0	0	0	1	0	0	1	Y	PRIVATE SCHOOL	PASCO SCHOOL DISTRICT	4115 W HENRY ST	PASCO	FRANKLIN	EDUCATIONAL SERVICE DISTRICT 123	P-10	Y	Y
TRINITY CATHOLIC SCHOOL	2015-16	13	92.3%	0%	0%	7.7%	0%	7.7%	0%	0%	100%	100%	100%	100%	100%	92.3%	12	0	0	1	0	1	0	0	0	0	0	0	0	1	Y	PRIVATE SCHOOL	SPOKANE SCHOOL DISTRICT	1306 W MONTGOMERY AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	P-8	Y	Y
TRINITY REFORMED CHRISTIAN SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	SUNNYSIDE SCHOOL DISTRICT	1505 GRANT AVE	SUNNYSIDE	YAKIMA	EDUCATIONAL SERVICE DISTRICT 105	K-8	N	Y
TROUT LAKE SCHOOL	2015-16	24	62.5%	0%	29.2%	8.3%	0%	8.3%	0%	0%	70.8%	70.8%	91.7%	95.8%	91.7%	91.7%	15	0	7	2	0	2	0	0	7	7	2	1	2	2	Y	PUBLIC SCHOOL	TROUT LAKE SCHOOL DISTRICT	PO BOX 488	TROUT LAKE	KLICKITAT	EDUCATIONAL SERVICE DISTRICT 112	5-12	N	Y
TRUMAN MIDDLE SCHOOL	2015-16	268	96.3%	0%	1.5%	2.2%	0%	1.9%	0%	0.4%	97%	96.6%	98.1%	97.4%	97.8%	97.4%	258	0	4	6	0	5	0	1	8	9	5	7	6	7	Y	PUBLIC SCHOOL	TACOMA SCHOOL DISTRICT	5801 N 35TH ST	TACOMA	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
TUKES VALLEY MIDDLE SCHOOL	2015-16	121	76%	0%	16.5%	7.4%	0.8%	6.6%	0.8%	0%	79.3%	79.3%	95%	95%	93.4%	94.2%	92	0	20	9	1	8	1	0	25	25	6	6	8	7	Y	PUBLIC SCHOOL	BATTLE GROUND SCHOOL DISTRICT	20601 NE 167TH AVE	BATTLE GROUND	CLARK	EDUCATIONAL SERVICE DISTRICT 112	5-8	N	Y
TUMWATER HILL ELEMENTARY	2015-16	67	70.1%	0%	19.4%	10.4%	0%	10.4%	0%	0%	76.1%	76.1%	94%	97%	94%	89.6%	47	0	13	7	0	7	0	0	16	16	4	2	4	7	Y	PUBLIC SCHOOL	TUMWATER SCHOOL DISTRICT	3120 RIDGEVIEW ST SW	TUMWATER	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	K -6	Y	Y
TUMWATER WEST	2015-16																														N	PUBLIC SCHOOL	TUMWATER SCHOOL DISTRICT	7741 LITTLEROCK RD SW	TUMWATER	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	4-12	N	Y
TWIN FALLS MIDDLE SCHOOL	2015-16	291	73.5%	0%	18.9%	7.6%	0.3%	6.9%	0.3%	0%	76.3%	76.6%	92.1%	91.8%	92.1%	90.4%	214	0	55	22	1	20	1	0	69	68	23	24	23	28	Y	PUBLIC SCHOOL	SNOQUALMIE VALLEY SCHOOL DISTRICT	46910 S.E. MIDDLE FORK ROAD	NORTH BEND	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
TYEE MIDDLE SCHOOL	2015-16	311	86.2%	0%	9%	4.8%	1.6%	3.2%	0%	0%	88.1%	88.1%	99%	97.7%	97.7%	97.1%	268	0	28	15	5	10	0	0	37	37	3	7	7	9	Y	PUBLIC SCHOOL	BELLEVUE SCHOOL DISTRICT	11650 SE 60TH	BELLEVUE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
UNION GAP SCHOOL	2015-16	68	67.6%	0%	30.9%	1.5%	0%	1.5%	0%	0%	70.6%	70.6%	97.1%	97.1%	97.1%	94.1%	46	0	21	1	0	1	0	0	20	20	2	2	2	4	Y	PUBLIC SCHOOL	UNION GAP SCHOOL DISTRICT	3200 S. 2ND STREET	UNION GAP	YAKIMA	EDUCATIONAL SERVICE DISTRICT 105	PK-8	Y	Y
UNION RIDGE ELEMENTARY	2015-16	106	91.5%	0%	0%	8.5%	0.9%	3.8%	3.8%	0%	90.6%	90.6%	93.4%	92.5%	92.5%	92.5%	97	0	0	9	1	4	4	0	10	10	7	8	8	8	Y	PUBLIC SCHOOL	RIDGEFIELD SCHOOL DISTRICT	330 NORTH FIFTH AVENUE	RIDGEFIELD	CLARK	EDUCATIONAL SERVICE DISTRICT 112	K -6	Y	Y
UNIVERSITY PLACE SPECIAL EDUC	2015-16	1	0%	0%	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	0	0	1	0	0	0	0	0	1	1	0	0	0	0	Y	PUBLIC SCHOOL	UNIVERSITY PLACE SCHOOL DISTRICT	3717 GRANDVIEW DRIVE W	UNIVERSITY PLACE	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -12	Y	Y
UNIVERSITY PREPARATORY	2015-16	78	93.6%	3.8%	0%	2.6%	1.3%	1.3%	0%	0%	100%	100%	100%	98.7%	100%	98.7%	73	3	0	2	1	1	0	0	0	0	0	1	0	1	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	8000 25TH AVE NE	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-12	N	Y
UPPER COLUMBIA ACADEMY ELEMENTARY	2015-16	4	50%	0%	0%	50%	0%	50%	0%	0%	75%	75%	75%	75%	50%	50%	2	0	0	2	0	2	0	0	1	1	1	1	2	2	Y	PRIVATE SCHOOL	LIBERTY SCHOOL DISTRICT	3025 E SPANGLE WAVERLY RD	SPANGLE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	K-8	Y	Y
UPPER VALLEY CHRISTIAN SCHOOL	2015-16	2	50%	0%	0%	50%	0%	50%	0%	0%	50%	50%	50%	50%	50%	50%	1	0	0	1	0	1	0	0	1	1	1	1	1	1	Y	PRIVATE SCHOOL	CASCADE SCHOOL DISTRICT	111 SKI HILL DR	LEAVENWORTH	CHELAN	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	K-12	Y	Y
VALLEY ACADEMY OF LEARNING	2015-16	13	76.9%	0%	0%	23.1%	0%	23.1%	0%	0%	84.6%	84.6%	92.3%	84.6%	92.3%	92.3%	10	0	0	3	0	3	0	0	2	2	1	2	1	1	Y	PUBLIC SCHOOL	WENATCHEE SCHOOL DISTRICT	1911 N WENATCHEE AVE	WENATCHEE	CHELAN	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	K -12	Y	Y
VALLEY CHRISTIAN SCHOOL	2015-16	2	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	AUBURN SCHOOL DISTRICT	1312 2ND ST SE	AUBURN	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
VALLEY CHRISTIAN SCHOOL--CENTRAL VALLEY	2015-16	16	68.8%	18.8%	0%	12.5%	0%	12.5%	0%	0%	68.8%	68.8%	87.5%	93.8%	93.8%	87.5%	11	3	0	2	0	2	0	0	5	5	2	1	1	2	Y	PRIVATE SCHOOL	CENTRAL VALLEY SCHOOL DISTRICT	10212 E 9TH AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	P-12	Y	Y
VALLEY SCHOOL	2015-16	18	61.1%	0%	11.1%	27.8%	0%	27.8%	0%	0%	77.8%	83.3%	94.4%	88.9%	94.4%	77.8%	11	0	2	5	0	5	0	0	4	3	1	2	1	4	Y	PUBLIC SCHOOL	VALLEY SCHOOL DISTRICT	3034 HUFFMAN RD	VALLEY	STEVENS	EDUCATIONAL SERVICE DISTRICT 101	K -8	Y	Y
VANCOUVER ITECH PREPARATORY	2015-16	60	86.7%	0%	0%	13.3%	0%	11.7%	1.7%	0%	90%	90%	91.7%	91.7%	95%	90%	52	0	0	8	0	7	1	0	6	6	5	5	3	6	Y	PUBLIC SCHOOL	VANCOUVER SCHOOL DISTRICT	2901 FALK RD	VANCOUVER	CLARK	EDUCATIONAL SERVICE DISTRICT 112	6-12	N	Y
VANCOUVER SCHOOL OF ARTS AND ACADEMICS	2015-16	91	83.5%	0%	5.5%	11%	0%	11%	0%	0%	90.1%	90.1%	93.4%	93.4%	93.4%	91.2%	76	0	5	10	0	10	0	0	9	9	6	6	6	8	Y	PUBLIC SCHOOL	VANCOUVER SCHOOL DISTRICT	3101 MAIN STREET	VANCOUVER	CLARK	EDUCATIONAL SERVICE DISTRICT 112	6-12	N	Y
VILLA ACADEMY	2015-16	44	93.2%	0%	0%	6.8%	0%	6.8%	0%	0%	97.7%	97.7%	97.7%	95.5%	97.7%	95.5%	41	0	0	3	0	3	0	0	1	1	1	2	1	2	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	5001 NE 50TH ST	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
VISITATION SCHOOL	2015-16	8	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	8	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	TACOMA SCHOOL DISTRICT	3306 S 58TH ST	TACOMA	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
VOYAGER MIDDLE SCHOOL	2015-16	307	72%	0%	25.1%	2.9%	0.7%	2%	0.3%	0%	72.6%	72.6%	97.1%	97.1%	98.4%	96.1%	221	0	77	9	2	6	1	0	84	84	9	9	5	12	Y	PUBLIC SCHOOL	MUKILTEO SCHOOL DISTRICT	11711 4TH AVE W	EVERETT	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	6-8	N	Y
VOYAGER MONTESSORI	2015-16																														N	PRIVATE SCHOOL	BAINBRIDGE ISLAND SCHOOL DISTRICT	8225 HIGH SCHOOL RD	BAINBRIDGE ISLAND	KITSAP	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	1-6	N	Y
W & P STEVENSON INTERMEDIATE	2015-16	98	84.7%	0%	3.1%	12.2%	2%	7.1%	3.1%	0%	91.8%	91.8%	93.9%	93.9%	93.9%	89.8%	83	0	3	12	2	7	3	0	8	8	6	6	6	10	Y	PUBLIC SCHOOL	WHITE SALMON VALLEY SCHOOL DISTRICT	480 NW LOOP ROAD	WHITE SALMON	KITTITAS	EDUCATIONAL SERVICE DISTRICT 112	4-6	N	Y
WA HE LUT INDIAN SCHOOL	2015-16																														N	PUBLIC SCHOOL	NORTH THURSTON PUBLIC SCHOOLS	11110 CONNIE AVE SE	OLYMPIA	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	K -8	Y	Y
WA STATE SCHOOL FOR THE BLIND (WSSB)	2015-16	4	25%	0%	75%	0%	0%	0%	0%	0%	25%	25%	75%	75%	75%	75%	1	0	3	0	0	0	0	0	3	3	1	1	1	1	Y	PUBLIC SCHOOL	VANCOUVER SCHOOL DISTRICT	2214 E 13TH ST	VANCOUVER	CLARK	EDUCATIONAL SERVICE DISTRICT 112	6-12	N	Y
WAHLUKE JUNIOR HIGH	2015-16	171	91.8%	0%	8.2%	0%	0%	0%	0%	0%	92.4%	93%	100%	99.4%	99.4%	100%	157	0	14	0	0	0	0	0	13	12	0	1	1	0	Y	PUBLIC SCHOOL	WAHLUKE SCHOOL DISTRICT	PO BOX 907	MATTAWA	GRANT	EDUCATIONAL SERVICE DISTRICT 105	6-8	N	Y
WAITSBURG ELEMENTARY SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	WAITSBURG SCHOOL DISTRICT	184 ACADEMY	WAITSBURG	WALLA WALLA	EDUCATIONAL SERVICE DISTRICT 123	K -6	Y	Y
WALDRON ISLAND SCHOOL	2015-16	1	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	ORCAS ISLAND SCHOOL DISTRICT	1 SCHOOL ROAD	WALDRON ISLAND	SAN JUAN	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K-8	Y	Y
WALLER ROAD ELEMENTARY	2015-16	51	88.2%	0%	3.9%	7.8%	0%	7.8%	0%	0%	94.1%	90.2%	94.1%	94.1%	94.1%	92.2%	45	0	2	4	0	4	0	0	3	5	3	3	3	4	Y	PUBLIC SCHOOL	PUYALLUP SCHOOL DISTRICT	6312 WALLER RD E	TACOMA	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
WALTER STROM MIDDLE SCHOOL	2015-16	65	90.8%	0%	0%	9.2%	1.5%	7.7%	0%	0%	95.4%	98.5%	96.9%	93.8%	93.8%	93.8%	59	0	0	6	1	5	0	0	3	1	2	4	4	4	Y	PUBLIC SCHOOL	CLE ELUM-ROSLYN SCHOOL DISTRICT	2694  SR 903	CLE ELUM	KITTITAS	EDUCATIONAL SERVICE DISTRICT 105	6-8	N	Y
WAPATO MIDDLE SCHOOL	2015-16	270	7.8%	0.4%	91.9%	0%	0%	0%	0%	0%	10.4%	11.1%	89.3%	90.4%	91.5%	83.3%	21	1	248	0	0	0	0	0	242	240	29	26	23	45	Y	PUBLIC SCHOOL	WAPATO SCHOOL DISTRICT	1309 KATERI LANE	WAPATO	YAKIMA	EDUCATIONAL SERVICE DISTRICT 105	6-8	N	Y
WARDEN HUTTERIAN SCHOOL	2015-16	2	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	LIND SCHOOL DISTRICT	1054 W HARDER RD	WARDEN	ADAMS	EDUCATIONAL SERVICE DISTRICT 101	K-12	Y	Y
